Periodo,PIB_Pesca,PIB_Agropecuario_silvicola,PIB_Mineria,PIB_Mineria_del_cobre,PIB_Otras_actividades_mineras,PIB_Industria_Manufacturera,PIB_Alimentos,PIB_Bebidas_y_tabaco,PIB_Textil,PIB_Maderas_y_muebles,PIB_Celulosa,PIB_Refinacion_de_petroleo,PIB_Quimica,PIB_Minerales_no_metalicos_y_metalica_basica,PIB_Productos_metalicos,PIB_Electricidad,PIB_Construccion,PIB_Comercio,PIB_Restaurantes_y_hoteles,PIB_Transporte,PIB_Comunicaciones,PIB_Servicios_financieros,PIB_Servicios_empresariales,PIB_Servicios_de_vivienda,PIB_Servicios_personales,PIB_Administracion_publica,PIB_a_costo_de_factores,Impuesto_al_valor_agregado,Derechos_de_Importacion,PIB
2013-03-01 00:00:00+00:00,57.062412171604,579.84681897655,1234.9134313469,1103.5625420671,131.35088927981,1306.482853589,367.81843630145,162.69280701648,33.030546698819,64.336610882649,97.494818168027,103.46951924968,184.46007326426,80.770983655819,212.40905835184,301.31493412932,710.24281789595,1154.8906423725,202.83866926508,546.69488901783,337.91526320369,569.18370025198,1139.3886023726,793.47151941551,1401.0391278763,512.99401535373,10848.279697238,896.68802318321,65.99360092187,11810.961321343
2013-04-01 00:00:00+00:00,60.65046649479,374.89570637647,1170.273599316,1035.8805980114,134.39300130459,1334.4273468343,382.11343972548,188.18956210911,38.034536223552,68.410683623199,94.59969652614,82.453038554989,172.63898092581,83.195907366659,224.79150177941,280.43829370394,749.05583651482,1106.5889327051,209.31071291704,544.30681770946,348.80101548867,565.07146630158,1212.2949064474,804.55108031599,1446.853334033,511.80399496793,10719.323510126,901.75556262887,59.890634042692,11680.969706798
2013-05-01 00:00:00+00:00,54.557316818386,311.35612730157,1213.1787426339,1077.8440879835,135.33465465046,1346.684976777,373.4501498325,184.11556503925,34.285081060629,68.692522685836,104.68534539703,101.62922509244,173.78591850689,77.842678212028,228.1984909504,274.89981680863,747.9583402603,1047.8045049327,206.48156315537,536.681480723,355.7118137631,571.39403623737,1257.9213698906,805.30743356307,1478.5970623535,512.46935890325,10721.003944122,913.85043211766,43.600464527617,11678.454840767
2013-06-01 00:00:00+00:00,41.866811885607,246.59208212836,1292.2765610561,1154.0493236719,138.22723738425,1276.1338382809,323.85781479858,172.24192983023,29.063723757763,66.722183269099,102.09189445448,100.27960703227,187.9208769485,71.663452330447,222.29235585958,270.14126645146,719.95705567067,979.88872267951,208.02123535787,526.58916310622,353.45298818929,573.27147931343,1255.6587605379,811.36682845173,1469.0340708373,514.73661134472,10538.987475291,883.85581434567,47.426100345012,11470.269389982
2013-07-01 00:00:00+00:00,56.589761793595,201.15643336118,1236.7744141684,1091.5864023895,145.18801177891,1288.4058912454,327.20658205346,163.57293445122,27.740541425562,69.216709672358,106.93519020509,102.10899282339,179.84933146216,76.362268803925,235.4133403482,293.37990467212,741.59559480641,967.64572674231,212.82723722165,536.44643194949,353.02866713888,574.97136408835,1240.3854828454,813.08605221007,1085.0683547991,515.37553904118,10116.736856083,912.66241702287,54.655771151517,11084.055044258
2013-08-01 00:00:00+00:00,38.320583260336,164.4424528831,1295.9583688275,1156.3238535421,139.63451528533,1271.7903920842,319.60728348782,164.91130495185,27.978934268303,67.835147413654,105.71582425581,96.881091758211,193.95285086138,74.148118763109,220.75983632412,291.41289795231,750.05117810689,980.92637262494,211.26801266729,540.38811158426,352.17213529244,578.99227070763,1196.3200499287,814.44520752694,1428.5682937663,517.0752899963,10432.131617209,919.93511351552,58.222724504108,11410.289455229
2013-09-01 00:00:00+00:00,38.894817995808,160.47731431514,1303.5051405982,1164.2653085647,139.2398320335,1154.3762943867,269.03760972487,161.88930997174,26.308946054654,58.715795111445,97.484077647032,101.44691208165,175.55226073593,64.379263497643,199.5621195618,295.92800946728,677.31965820865,915.09187959488,214.94894179031,522.53462454138,350.53687608329,575.22316060074,1190.3399606213,816.73440661167,1242.7998929912,519.68539967719,9978.396377484,889.83451838527,56.756268095047,10924.987163964
2013-10-01 00:00:00+00:00,72.98802534294,221.53772733286,1348.1606087935,1191.4387034581,156.72190533542,1312.6238710509,332.15666092262,163.38608194645,35.167067439015,69.779658292566,100.74516413114,86.778539508753,206.59373551726,85.622710232162,232.39425306099,309.78165460518,776.74264102394,1020.052051152,215.30433118001,564.50761306068,376.13945274153,573.61970614933,1213.3236828466,812.60846081658,1471.1347575416,520.01332143055,10808.537905068,937.53789492906,57.038946594116,11803.114746591
2013-11-01 00:00:00+00:00,67.19174716841,258.440295722,1373.0961257706,1219.6978786325,153.39824713811,1282.5279113834,324.69902671346,162.58696783361,31.638907933705,67.644476312273,102.83697557007,81.95673750141,202.89693180239,76.997862030426,231.27002568605,303.56166508614,844.73550198934,1033.2203305698,228.18003177542,560.48980776709,396.58018891306,576.60317467032,1346.9425356046,852.67722394529,1483.4866657836,521.34357775628,11129.076783905,969.5538761332,51.729014730333,12150.359674769
2013-12-01 00:00:00+00:00,54.944436370638,334.61937920455,1392.7568406266,1253.9625899838,138.79425064279,1305.6692805744,311.29000481673,178.77790285716,32.748102726983,68.732600609177,109.43100342103,107.28843883776,190.0591860278,65.972593327681,241.3694479501,317.12993416601,1033.3188768902,1278.7117413047,228.28806169353,568.0756615142,393.40926987551,593.59675984714,1329.9304844434,860.07329446621,1086.4055546588,525.29234853288,11302.221924169,1132.5155341172,48.580725266301,12483.318183552
